Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:ASIANPAINT-EQ,1,0,0,0,0,150,0,0.3,0,1,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:BPCL-EQ,2,0,0,0,0,300,0,0.6,0,2,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:BRITANNIA-EQ,2,0,0,0,0,300,0,0.6,0,2,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:GAIL-EQ,2,0,0,0,0,300,0,0.6,0,2,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:HCLTECH-EQ,2,0,0,0,0,300,0,0.6,0,2,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:HDFCLIFE-EQ,2,0,0,0,0,300,0,0.6,0,2,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:HEROMOTOCO-EQ,3,0,0,0,0,300,0,0.6,0,2,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:IOC-EQ,1,0,0,0,0,150,0,0.3,0,1,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:KOTAKBANK-EQ,2,0,0,0,0,300,0,0.6,0,2,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:MARUTI-EQ,1,0,0,0,0,150,0,0.3,0,1,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:NESTLEIND-EQ,1,0,0,0,0,150,0,0.3,0,1,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:SBILIFE-EQ,1,0,0,0,0,150,0,0.3,0,1,0
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:EICHERMOT-EQ,3,0,0,0,300,300,0.6,0.6,1,2,33.33333333
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:LT-EQ,3,0,0,0,300,300,0.6,0.6,1,2,33.33333333
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:AXISBANK-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:BAJAJFINSV-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:BAJFINANCE-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:DIVISLAB-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:DRREDDY-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:HINDALCO-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:INFY-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:ITC-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:M&M-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:NTPC-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:RELIANCE-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:SHREECEM-EQ,2,0,0,0,300,150,0.6,0.3,1,1,50
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:JSWSTEEL-EQ,3,0,0,0,600,150,1.2,0.3,2,1,66.66666667
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:BAJAJ-AUTO-EQ,1,0,0,0,300,0,0.6,0,1,0,100
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:BHARTIARTL-EQ,2,0,0,0,600,0,1.2,0,2,0,100
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:COALINDIA-EQ,3,0,0,0,900,0,1.8,0,3,0,100
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:GRASIM-EQ,1,0,0,0,300,0,0.6,0,1,0,100
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:HINDUNILVR-EQ,1,0,0,0,300,0,0.6,0,1,0,100
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:ICICIBANK-EQ,1,0,0,0,300,0,0.6,0,1,0,100
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:POWERGRID-EQ,2,0,0,0,600,0,1.2,0,2,0,100
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:SBIN-EQ,1,0,0,0,300,0,0.6,0,1,0,100
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:CIPLA-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:HDFC-EQ,1,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:HDFCBANK-EQ,1,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:INDUSINDBK-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:ONGC-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:SUNPHARMA-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:TATAMOTORS-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:TATASTEEL-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:TCS-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:TECHM-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:TITAN-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:ULTRACEMCO-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:UPL-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,#DIV/0!
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!
,,,,,,,,,,,#DIV/0!
NSE:WIPRO-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
